system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,SCL,date,sun_azimuth,sun_zenith,view_azimuth_mean,view_zenith_mean,.geo
20230815T103629_20230815T104417_T31UGU,0.14800000000000002,0.2844,0.1892,0.15,0.1608,0.1458,0.17700000000000002,0.3987,0.5689000000000001,0.5667,0.5813,0.5646,4.0,2023-08-15,160.526902612833,39.9557439324738,126.374064106521,3.7565024161489,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230815T103629_20230815T104417_T32ULC,0.1526,0.28550000000000003,0.19160000000000002,0.158,0.1665,0.1496,0.1816,0.3946,0.5521,0.5561,0.5743,0.5686,4.0,2023-08-15,160.445587053626,39.1105918029782,183.477937855313,3.0578160793347,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230820T103631_20230820T104400_T31UGT,0.12010000000000001,0.2584,0.1681,0.12100000000000001,0.1378,0.12430000000000001,0.15130000000000002,0.3647,0.516,0.5254,0.5382,0.524,4.0,2023-08-20,161.073610686416,40.6266302153659,165.091928719222,3.11185317297153,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230820T103631_20230820T104400_T31UGU,0.12090000000000001,0.25630000000000003,0.16720000000000002,0.12200000000000001,0.1384,0.125,0.1514,0.3607,0.5084000000000001,0.5179,0.5299,0.5194,4.0,2023-08-20,161.425719853402,41.4734666827196,126.300506898467,3.73593463515249,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230820T103631_20230820T104400_T32ULC,0.11710000000000001,0.2607,0.1656,0.1216,0.1364,0.1242,0.1532,0.3637,0.5129,0.5246000000000001,0.5303,0.5405,4.0,2023-08-20,161.371551305391,40.6254949281764,184.251427033142,3.05079034237977,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230904T103629_20230904T104416_T31UGT,0.12490000000000001,0.263,0.1779,0.13040000000000002,0.14650000000000002,0.1335,0.16140000000000002,0.35910000000000003,0.4978,0.5126000000000001,0.5155000000000001,0.5059,4.0,2023-09-04,164.055178800221,45.593045975494,165.758479936572,3.10663141777237,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230904T103629_20230904T104416_T31UGU,0.12560000000000002,0.2605,0.1768,0.131,0.1464,0.1337,0.1605,0.3534,0.48910000000000003,0.5044000000000001,0.5069,0.49870000000000003,4.0,2023-09-04,164.310673646647,46.4539485033121,127.073857538592,3.73422756204235,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230904T103629_20230904T104416_T32ULC,0.1228,0.2631,0.17830000000000001,0.13040000000000002,0.1468,0.1337,0.16190000000000002,0.35660000000000003,0.4879,0.5038,0.5069,0.5164,4.0,2023-09-04,164.329625316165,45.5984163459691,184.351695904757,3.05527565104561,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230909T103631_20230909T104403_T31UGT,0.1282,0.26580000000000004,0.1757,0.1311,0.14730000000000001,0.1353,0.1671,0.36970000000000003,0.4844,0.4934,0.5049,0.5047,4.0,2023-09-09,165.058210324292,47.3628099376202,165.619361407384,3.11201645765506,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230909T103631_20230909T104403_T31UGU,0.1282,0.2631,0.1746,0.1311,0.14700000000000002,0.13520000000000001,0.1665,0.36410000000000003,0.4753,0.4852,0.496,0.4969,4.0,2023-09-09,165.285512575117,48.2279500577303,126.670019898711,3.73244192283426,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230909T103631_20230909T104403_T32ULC,0.12840000000000001,0.2659,0.17420000000000002,0.1316,0.1479,0.1375,0.1705,0.3604,0.46740000000000004,0.47940000000000005,0.49760000000000004,0.508,4.0,2023-09-09,165.325178258222,47.3703667358987,184.256703871183,3.05897276835482,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230914T103639_20230914T103737_T31UGT,0.1254,0.26630000000000004,0.18230000000000002,0.1338,0.1477,0.1348,0.1673,0.3527,0.46690000000000004,0.4847,0.4884,0.4884,4.0,2023-09-14,166.020473635324,49.1773196648121,165.270259378249,3.11267320139661,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230914T103639_20230914T103737_T31UGU,0.1247,0.2636,0.18080000000000002,0.13290000000000002,0.1467,0.1343,0.16590000000000002,0.3478,0.46030000000000004,0.4778,0.4802,0.48200000000000004,4.0,2023-09-14,166.222183075459,50.0462841671927,126.454834967271,3.75683539792769,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230914T103639_20230914T103737_T32ULC,0.1227,0.26680000000000004,0.18000000000000002,0.1325,0.1477,0.134,0.16290000000000002,0.34700000000000003,0.4546,0.4703,0.47300000000000003,0.4955,4.0,2023-09-14,166.280189184105,49.186971467352,184.030232202993,3.05555061144389,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230924T103659_20230924T103655_T31UGT,0.11320000000000001,0.2657,0.1789,0.1308,0.14780000000000001,0.13540000000000002,0.1708,0.3406,0.4181,0.43420000000000003,0.43660000000000004,0.458,4.0,2023-09-24,167.850573478754,52.888763290184,163.718801083911,3.13102668622785,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
